Account ID,AC,Active?,Preparer Duration
1002_ON-2100-117122-0000-16031-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-16040-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80001-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80003-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80004-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80016-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80026-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80047-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80053-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80121-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80122-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80125-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80138-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80154-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80155-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80159-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80160-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80192-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80205-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80212-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80217-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80224-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80234-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80261-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80279-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80344-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80354-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80370-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-80577-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117201-0000-11003-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-11004-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-11006-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-11007-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-11103-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-11106-0000-ALL-ALL,117201,Yes,14
1002_ON-2100-117201-0000-11322-0000-ALL-ALL,117201,Yes,14
